,year,State,Race,Total population,Total citizen population,Total registered,Percent registered (Total),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Percent registered (Citizen),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Total voted,Percent voted (Total),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1,Percent voted (Citizen),Margin of error 1,Margin of error 1,Margin of error 1,Margin of error 1
517,2012,VIRGINIA,Total,"6,094","5,645","4,210",69.1,1.8,1.7,1.9,1.9,74.6,1.8,1.7,1.9,1.9,"3,778",62,1.8,1.7,1.9,1.9,66.9,1.8,1.7,1.9,1.9
520,2012,VIRGINIA,White,"4,496","4,245","3,222",71.7,2,2,2.1,2.1,75.9,2,2,2.1,2.1,"2,872",63.9,2,2,2.1,2.1,67.6,2,2,2.1,2.1
522,2012,VIRGINIA,Black,"1,133","1,063",772,68.1,5,4.9,5.2,5.2,72.6,5,4.9,5.2,5.2,715,63.1,5,4.9,5.2,5.2,67.2,5,4.9,5.2,5.2
524,2012,VIRGINIA,Hispanic,375,154,114,30.3,11.1,16.6,10.8,17.8,73.6,11.1,16.6,10.8,17.8,103,27.5,11.1,16.6,10.8,17.8,66.8,11.1,16.6,10.8,17.8
528,2012,WASHINGTON,Total,"5,230","4,832","3,533",67.6,2,1.9,2,2.1,73.1,2,1.9,2,2.1,"3,172",60.7,2,1.9,2,2.1,65.6,2,1.9,2,2.1
531,2012,WASHINGTON,White,"4,301","4,039","2,987",69.4,2.1,2.1,2.2,2.2,74,2.1,2.1,2.2,2.2,"2,696",62.7,2.1,2.1,2.2,2.2,66.8,2.1,2.1,2.2,2.2
533,2012,WASHINGTON,Black,162,149,103,63.8,13.9,13.9,14.3,15,69.5,13.9,13.9,14.3,15,72,44.3,13.9,13.9,14.3,15,48.3,13.9,13.9,14.3,15
535,2012,WASHINGTON,Hispanic,460,298,172,37.5,10.8,13.6,10.2,13.8,58,10.8,13.6,10.2,13.8,139,30.2,10.8,13.6,10.2,13.8,46.6,10.8,13.6,10.2,13.8
539,2012,WEST VIRGINIA,Total,"1,452","1,442",982,67.6,2.2,2.2,2.4,2.4,68.1,2.2,2.2,2.4,2.4,690,47.5,2.2,2.2,2.4,2.4,47.8,2.2,2.2,2.4,2.4
542,2012,WEST VIRGINIA,White,"1,391","1,386",948,68.2,2.2,2.2,2.4,2.4,68.4,2.2,2.2,2.4,2.4,665,47.8,2.2,2.2,2.4,2.4,48,2.2,2.2,2.4,2.4
544,2012,WEST VIRGINIA,Black,40,38,23,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),19,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
546,2012,WEST VIRGINIA,Hispanic,14,13,8,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),4,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
550,2012,WISCONSIN,Total,"4,352","4,247","3,318",76.3,1.9,1.9,2,2,78.1,1.9,1.9,2,2,"3,127",71.9,1.9,1.9,2,2,73.6,1.9,1.9,2,2
553,2012,WISCONSIN,White,"3,920","3,856","3,030",77.3,2,2,2.1,2.1,78.6,2,2,2.1,2.1,"2,854",72.8,2,2,2.1,2.1,74,2,2,2.1,2.1
555,2012,WISCONSIN,Black,242,227,184,76.1,9.9,9.4,10.3,9.9,81,9.9,9.4,10.3,9.9,178,73.7,9.9,9.4,10.3,9.9,78.5,9.9,9.4,10.3,9.9
557,2012,WISCONSIN,Hispanic,214,163,76,35.5,15.4,18.4,15.1,18.3,46.8,15.4,18.4,15.1,18.3,71,33.3,15.4,18.4,15.1,18.3,43.9,15.4,18.4,15.1,18.3
561,2012,WYOMING,Total,427,419,268,62.8,2.6,2.6,2.6,2.6,63.9,2.6,2.6,2.6,2.6,247,57.8,2.6,2.6,2.6,2.6,58.9,2.6,2.6,2.6,2.6
564,2012,WYOMING,White,403,396,259,64.2,2.6,2.6,2.7,2.7,65.3,2.6,2.6,2.7,2.7,240,59.4,2.6,2.6,2.7,2.7,60.4,2.6,2.6,2.7,2.7
566,2012,WYOMING,Black,3,3,1,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),1,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
568,2012,WYOMING,Hispanic,32,27,10,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),8,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
0,2014,UNITED STATES,Total,"239,874","219,941","142,166",59.3,0.3,0.3,0.3,0.3,64.6,0.3,0.3,0.3,0.3,"92,251",38.5,0.3,0.3,0.3,0.3,41.9,0.3,0.3,0.3,0.3
3,2014,UNITED STATES,White,"189,331","175,909","115,998",61.3,0.3,0.3,0.3,0.3,65.9,0.3,0.3,0.3,0.3,"76,366",40.3,0.3,0.3,0.3,0.3,43.4,0.3,0.3,0.3,0.3
5,2014,UNITED STATES,Black,"29,668","27,908","17,700",59.7,1.0,1.0,1.0,1.0,63.4,1.0,1.0,1.0,1.0,"11,078",37.3,1.0,1.0,1.0,1.0,39.7,1.0,1.0,1.0,1.0
7,2014,UNITED STATES,Hispanic,"36,802","25,092","12,862",34.9,1.1,1.4,0.9,1.2,51.3,1.1,1.4,0.9,1.2,"6,775",18.4,1.1,1.4,0.9,1.2,27.0,1.1,1.4,0.9,1.2
11,2014,ALABAMA,Total,"3,656","3,519","2,366",64.7,2.4,2.4,2.4,2.5,67.2,2.4,2.4,2.4,2.5,"1,497",40.9,2.4,2.4,2.4,2.5,42.5,2.4,2.4,2.4,2.5
14,2014,ALABAMA,White,"2,586","2,503","1,700",65.8,2.8,2.8,2.9,2.9,67.9,2.8,2.8,2.9,2.9,"1,045",40.4,2.8,2.8,2.9,2.9,41.8,2.8,2.8,2.9,2.9
16,2014,ALABAMA,Black,922,910,596,64.6,5.7,5.7,5.9,6.0,65.4,5.7,5.7,5.9,6.0,414,44.9,5.7,5.7,5.9,6.0,45.5,5.7,5.7,5.9,6.0
18,2014,ALABAMA,Hispanic,136,41,17,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),3,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
22,2014,ALASKA,Total,521,503,336,64.6,2.5,2.5,2.6,2.7,66.8,2.5,2.5,2.6,2.7,255,49.0,2.5,2.5,2.6,2.7,50.7,2.5,2.5,2.6,2.7
25,2014,ALASKA,White,340,331,234,68.9,3.0,3.0,3.2,3.2,70.7,3.0,3.0,3.2,3.2,188,55.5,3.0,3.0,3.2,3.2,56.9,3.0,3.0,3.2,3.2
27,2014,ALASKA,Black,18,18,9,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),6,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
29,2014,ALASKA,Hispanic,28,24,12,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),8,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
33,2014,ARIZONA,Total,"4,994","4,397","2,738",54.8,2.1,2.2,2.1,2.2,62.3,2.1,2.2,2.1,2.2,"1,785",35.7,2.1,2.2,2.1,2.2,40.6,2.1,2.2,2.1,2.2
36,2014,ARIZONA,White,"4,226","3,742","2,386",56.5,2.3,2.4,2.3,2.4,63.8,2.3,2.4,2.3,2.4,"1,583",37.5,2.3,2.4,2.3,2.4,42.3,2.3,2.4,2.3,2.4
38,2014,ARIZONA,Black,215,199,120,55.9,12.4,12.7,11.5,12.2,60.3,12.4,12.7,11.5,12.2,66,30.8,12.4,12.7,11.5,12.2,33.1,12.4,12.7,11.5,12.2
40,2014,ARIZONA,Hispanic,"1,580","1,145",687,43.5,5.9,6.9,5.0,6.5,60.0,5.9,6.9,5.0,6.5,364,23.1,5.9,6.9,5.0,6.5,31.8,5.9,6.9,5.0,6.5
44,2014,ARKANSAS,Total,"2,189","2,057","1,292",59.0,2.5,2.6,2.5,2.6,62.8,2.5,2.6,2.5,2.6,798,36.5,2.5,2.6,2.5,2.6,38.8,2.5,2.6,2.5,2.6
47,2014,ARKANSAS,White,"1,763","1,680","1,076",61.0,2.8,2.8,2.8,2.9,64.0,2.8,2.8,2.8,2.9,661,37.5,2.8,2.8,2.8,2.9,39.3,2.8,2.8,2.8,2.9
49,2014,ARKANSAS,Black,307,303,184,60.0,8.1,8.1,8.0,8.1,60.7,8.1,8.1,8.0,8.1,116,37.7,8.1,8.1,8.0,8.1,38.2,8.1,8.1,8.0,8.1
51,2014,ARKANSAS,Hispanic,136,55,20,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),14,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
55,2014,CALIFORNIA,Total,"29,030","24,455","14,113",48.6,0.9,1.0,0.8,0.9,57.7,0.9,1.0,0.8,0.9,"8,949",30.8,0.9,1.0,0.8,0.9,36.6,0.9,1.0,0.8,0.9
58,2014,CALIFORNIA,White,"21,429","18,060","10,753",50.2,1.0,1.1,1.0,1.1,59.5,1.0,1.1,1.0,1.1,"7,093",33.1,1.0,1.1,1.0,1.1,39.3,1.0,1.1,1.0,1.1
60,2014,CALIFORNIA,Black,"1,846","1,787","1,043",56.5,4.2,4.3,3.9,4.0,58.4,4.2,4.3,3.9,4.0,535,29.0,4.2,4.3,3.9,4.0,29.9,4.2,4.3,3.9,4.0
62,2014,CALIFORNIA,Hispanic,"10,023","6,859","3,294",32.9,2.2,2.9,1.8,2.5,48.0,2.2,2.9,1.8,2.5,"1,707",17.0,2.2,2.9,1.8,2.5,24.9,2.2,2.9,1.8,2.5
66,2014,COLORADO,Total,"4,009","3,732","2,654",66.2,2.3,2.3,2.4,2.4,71.1,2.3,2.3,2.4,2.4,"2,211",55.2,2.3,2.3,2.4,2.4,59.3,2.3,2.3,2.4,2.4
69,2014,COLORADO,White,"3,637","3,427","2,453",67.4,2.4,2.3,2.5,2.5,71.6,2.4,2.3,2.5,2.5,"2,085",57.3,2.4,2.3,2.5,2.5,60.8,2.4,2.3,2.5,2.5
71,2014,COLORADO,Black,147,132,75,51.2,15.2,15.8,14.7,15.8,57.0,15.2,15.8,14.7,15.8,56,38.0,15.2,15.8,14.7,15.8,42.3,15.2,15.8,14.7,15.8
73,2014,COLORADO,Hispanic,701,534,321,45.8,9.0,10.1,8.4,10.2,60.1,9.0,10.1,8.4,10.2,218,31.1,9.0,10.1,8.4,10.2,40.9,9.0,10.1,8.4,10.2
77,2014,CONNECTICUT,Total,"2,783","2,560","1,668",59.9,2.4,2.5,2.5,2.6,65.1,2.4,2.5,2.5,2.6,"1,195",43.0,2.4,2.5,2.5,2.6,46.7,2.4,2.5,2.5,2.6
80,2014,CONNECTICUT,White,"2,344","2,198","1,475",62.9,2.6,2.6,2.7,2.8,67.1,2.6,2.6,2.7,2.8,"1,065",45.4,2.6,2.6,2.7,2.8,48.4,2.6,2.6,2.7,2.8
82,2014,CONNECTICUT,Black,291,246,121,41.7,9.2,10.2,8.4,9.6,49.2,9.2,10.2,8.4,9.6,83,28.4,9.2,10.2,8.4,9.6,33.5,9.2,10.2,8.4,9.6
84,2014,CONNECTICUT,Hispanic,319,220,116,36.3,11.2,13.9,9.5,12.9,52.6,11.2,13.9,9.5,12.9,68,21.3,11.2,13.9,9.5,12.9,30.8,11.2,13.9,9.5,12.9
88,2014,DELAWARE,Total,712,661,442,62.0,2.4,2.5,2.5,2.6,66.8,2.4,2.5,2.5,2.6,299,42.0,2.4,2.5,2.5,2.6,45.2,2.4,2.5,2.5,2.6
91,2014,DELAWARE,White,510,484,336,65.9,2.8,2.8,3.0,3.1,69.4,2.8,2.8,3.0,3.1,229,44.9,2.8,2.8,3.0,3.1,47.2,2.8,2.8,3.0,3.1
93,2014,DELAWARE,Black,147,138,91,61.9,6.5,6.6,6.6,6.9,66.1,6.5,6.6,6.6,6.9,59,40.3,6.5,6.6,6.6,6.9,43.0,6.5,6.6,6.6,6.9
95,2014,DELAWARE,Hispanic,56,31,14,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),5,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
99,2014,DISTRICT OF COLUMBIA,Total,538,480,353,65.6,2.4,2.4,2.6,2.7,73.5,2.4,2.4,2.6,2.7,247,45.8,2.4,2.4,2.6,2.7,51.4,2.4,2.4,2.6,2.7
102,2014,DISTRICT OF COLUMBIA,White,251,220,176,70.1,3.4,3.2,3.8,4.0,79.7,3.4,3.2,3.8,4.0,123,49.1,3.4,3.2,3.8,4.0,55.8,3.4,3.2,3.8,4.0
104,2014,DISTRICT OF COLUMBIA,Black,248,235,164,66.1,4.3,4.3,4.6,4.7,69.7,4.3,4.3,4.6,4.7,114,46.1,4.3,4.3,4.6,4.7,48.6,4.3,4.3,4.6,4.7
106,2014,DISTRICT OF COLUMBIA,Hispanic,53,28,19,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),13,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
110,2014,FLORIDA,Total,"15,414","13,879","8,691",56.4,1.2,1.2,1.2,1.3,62.6,1.2,1.2,1.2,1.3,"6,220",40.4,1.2,1.2,1.2,1.3,44.8,1.2,1.2,1.2,1.3
113,2014,FLORIDA,White,"12,507","11,266","7,010",56.1,1.3,1.4,1.3,1.4,62.2,1.3,1.4,1.3,1.4,"5,071",40.6,1.3,1.4,1.3,1.4,45.0,1.3,1.4,1.3,1.4
115,2014,FLORIDA,Black,"2,331","2,112","1,358",58.2,3.7,3.8,3.6,3.9,64.3,3.7,3.8,3.6,3.9,929,39.8,3.7,3.8,3.6,3.9,44.0,3.7,3.8,3.6,3.9
117,2014,FLORIDA,Hispanic,"3,530","2,480","1,493",42.3,3.9,4.6,3.4,4.5,60.2,3.9,4.6,3.4,4.5,892,25.3,3.9,4.6,3.4,4.5,36.0,3.9,4.6,3.4,4.5
121,2014,GEORGIA,Total,"7,306","6,759","4,306",58.9,1.7,1.8,1.7,1.8,63.7,1.7,1.8,1.7,1.8,"2,919",40.0,1.7,1.8,1.7,1.8,43.2,1.7,1.8,1.7,1.8
124,2014,GEORGIA,White,"4,569","4,236","2,764",60.5,2.2,2.2,2.2,2.3,65.3,2.2,2.2,2.2,2.3,"1,866",40.8,2.2,2.2,2.2,2.3,44.0,2.2,2.2,2.2,2.3
126,2014,GEORGIA,Black,"2,199","2,150","1,339",60.9,3.8,3.8,3.9,3.9,62.3,3.8,3.8,3.9,3.9,925,42.1,3.8,3.8,3.9,3.9,43.0,3.8,3.8,3.9,3.9
128,2014,GEORGIA,Hispanic,508,207,99,19.6,8.4,16.5,6.9,15.1,48.1,8.4,16.5,6.9,15.1,62,12.1,8.4,16.5,6.9,15.1,29.8,8.4,16.5,6.9,15.1
132,2014,HAWAII,Total,"1,035",956,490,47.4,2.5,2.6,2.4,2.6,51.3,2.5,2.6,2.4,2.6,399,38.6,2.5,2.6,2.4,2.6,41.8,2.5,2.6,2.4,2.6
135,2014,HAWAII,White,228,217,117,51.6,5.3,5.5,5.3,5.4,54.2,5.3,5.5,5.3,5.4,95,41.8,5.3,5.5,5.3,5.4,44.0,5.3,5.5,5.3,5.4
137,2014,HAWAII,Black,19,18,8,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),7,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
139,2014,HAWAII,Hispanic,64,62,31,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),21,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
143,2014,IDAHO,Total,"1,182","1,105",671,56.8,2.6,2.6,2.5,2.6,60.7,2.6,2.6,2.5,2.6,462,39.1,2.6,2.6,2.5,2.6,41.8,2.6,2.6,2.5,2.6
146,2014,IDAHO,White,"1,110","1,044",648,58.4,2.6,2.7,2.6,2.7,62.1,2.6,2.7,2.6,2.7,452,40.7,2.6,2.7,2.6,2.7,43.3,2.6,2.7,2.6,2.7
148,2014,IDAHO,Black,10,10,1,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),-,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
150,2014,IDAHO,Hispanic,153,96,23,15.1,8.1,12.2,7.1,10.8,24.0,8.1,12.2,7.1,10.8,17,11.1,8.1,12.2,7.1,10.8,17.6,8.1,12.2,7.1,10.8
154,2014,ILLINOIS,Total,"9,757","8,951","5,716",58.6,1.5,1.5,1.5,1.6,63.9,1.5,1.5,1.5,1.6,"3,734",38.3,1.5,1.5,1.5,1.6,41.7,1.5,1.5,1.5,1.6
157,2014,ILLINOIS,White,"7,648","7,097","4,673",61.1,1.7,1.7,1.7,1.8,65.9,1.7,1.7,1.7,1.8,"3,070",40.1,1.7,1.7,1.7,1.8,43.3,1.7,1.7,1.7,1.8
159,2014,ILLINOIS,Black,"1,348","1,329",768,57.0,4.9,5.0,4.9,4.9,57.8,4.9,5.0,4.9,4.9,535,39.7,4.9,5.0,4.9,4.9,40.2,4.9,5.0,4.9,4.9
161,2014,ILLINOIS,Hispanic,"1,316",892,410,31.1,6.1,7.9,4.9,6.8,45.9,6.1,7.9,4.9,6.8,218,16.6,6.1,7.9,4.9,6.8,24.4,6.1,7.9,4.9,6.8
165,2014,INDIANA,Total,"4,913","4,693","3,048",62.0,2.1,2.1,2.0,2.1,64.9,2.1,2.1,2.0,2.1,"1,646",33.5,2.1,2.1,2.0,2.1,35.1,2.1,2.1,2.0,2.1
168,2014,INDIANA,White,"4,365","4,212","2,788",63.9,2.2,2.2,2.2,2.2,66.2,2.2,2.2,2.2,2.2,"1,498",34.3,2.2,2.2,2.2,2.2,35.6,2.2,2.2,2.2,2.2
170,2014,INDIANA,Black,395,385,226,57.4,9.0,9.1,8.8,8.9,58.8,9.0,9.1,8.8,8.9,143,36.4,9.0,9.1,8.8,8.9,37.3,9.0,9.1,8.8,8.9
172,2014,INDIANA,Hispanic,314,180,78,24.8,11.5,17.4,8.4,13.9,43.1,11.5,17.4,8.4,13.9,35,11.2,11.5,17.4,8.4,13.9,19.4,11.5,17.4,8.4,13.9
176,2014,IOWA,Total,"2,336","2,275","1,584",67.8,2.4,2.4,2.6,2.6,69.6,2.4,2.4,2.6,2.6,"1,203",51.5,2.4,2.4,2.6,2.6,52.9,2.4,2.4,2.6,2.6
179,2014,IOWA,White,"2,171","2,146","1,515",69.8,2.4,2.4,2.7,2.7,70.6,2.4,2.4,2.7,2.7,"1,154",53.1,2.4,2.4,2.7,2.7,53.7,2.4,2.4,2.7,2.7
181,2014,IOWA,Black,69,61,31,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),20,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
183,2014,IOWA,Hispanic,81,52,21,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),11,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
187,2014,KANSAS,Total,"2,125","1,993","1,353",63.7,2.6,2.6,2.7,2.8,67.9,2.6,2.6,2.7,2.8,962,45.3,2.6,2.6,2.7,2.8,48.3,2.6,2.6,2.7,2.8
190,2014,KANSAS,White,"1,853","1,770","1,220",65.8,2.8,2.8,2.9,3.0,68.9,2.8,2.8,2.9,3.0,873,47.1,2.8,2.8,2.9,3.0,49.3,2.8,2.8,2.9,3.0
192,2014,KANSAS,Black,129,122,73,56.3,13.3,13.6,13.2,13.7,59.8,13.3,13.6,13.2,13.7,53,40.8,13.3,13.6,13.2,13.7,43.3,13.3,13.6,13.2,13.7
194,2014,KANSAS,Hispanic,216,125,70,32.4,12.6,17.6,10.9,17.0,55.8,12.6,17.6,10.9,17.0,44,20.5,12.6,17.6,10.9,17.0,35.3,12.6,17.6,10.9,17.0
198,2014,KENTUCKY,Total,"3,323","3,207","2,298",69.2,2.4,2.4,2.6,2.7,71.6,2.4,2.4,2.6,2.7,"1,525",45.9,2.4,2.4,2.6,2.7,47.5,2.4,2.4,2.6,2.7
201,2014,KENTUCKY,White,"2,943","2,870","2,059",70.0,2.6,2.5,2.8,2.8,71.8,2.6,2.5,2.8,2.8,"1,367",46.4,2.6,2.5,2.8,2.8,47.6,2.6,2.5,2.8,2.8
203,2014,KENTUCKY,Black,271,263,184,67.7,10.4,10.4,11.0,11.2,70.0,10.4,10.4,11.0,11.2,117,43.2,10.4,10.4,11.0,11.2,44.7,10.4,10.4,11.0,11.2
205,2014,KENTUCKY,Hispanic,113,55,34,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),23,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
209,2014,LOUISIANA,Total,"3,450","3,342","2,398",69.5,2.3,2.3,2.5,2.5,71.7,2.3,2.3,2.5,2.5,"1,677",48.6,2.3,2.3,2.5,2.5,50.2,2.3,2.3,2.5,2.5
212,2014,LOUISIANA,White,"2,250","2,170","1,596",70.9,2.8,2.7,3.0,3.1,73.5,2.8,2.7,3.0,3.1,"1,094",48.6,2.8,2.7,3.0,3.1,50.4,2.8,2.7,3.0,3.1
214,2014,LOUISIANA,Black,"1,042","1,034",729,70.0,5.0,5.0,5.4,5.4,70.5,5.0,5.0,5.4,5.4,533,51.2,5.0,5.0,5.4,5.4,51.6,5.0,5.0,5.4,5.4
216,2014,LOUISIANA,Hispanic,165,100,57,34.4,16.8,22.5,13.9,21.0,56.7,16.8,22.5,13.9,21.0,31,19.0,16.8,22.5,13.9,21.0,31.3,16.8,22.5,13.9,21.0
220,2014,MAINE,Total,"1,061","1,045",799,75.4,2.4,2.4,2.7,2.7,76.5,2.4,2.4,2.7,2.7,642,60.5,2.4,2.4,2.7,2.7,61.5,2.4,2.4,2.7,2.7
223,2014,MAINE,White,"1,009","1,002",771,76.4,2.4,2.4,2.8,2.8,76.9,2.4,2.4,2.8,2.8,616,61.1,2.4,2.4,2.8,2.8,61.5,2.4,2.4,2.8,2.8
225,2014,MAINE,Black,9,7,5,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),3,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
227,2014,MAINE,Hispanic,10,10,4,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),3,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
231,2014,MARYLAND,Total,"4,542","4,148","2,995",65.9,2.2,2.1,2.3,2.4,72.2,2.2,2.1,2.3,2.4,"2,028",44.7,2.2,2.1,2.3,2.4,48.9,2.2,2.1,2.3,2.4
234,2014,MARYLAND,White,"2,752","2,613","1,941",70.5,2.7,2.6,2.9,3.0,74.3,2.7,2.6,2.9,3.0,"1,345",48.9,2.7,2.6,2.9,3.0,51.5,2.7,2.6,2.9,3.0
236,2014,MARYLAND,Black,"1,325","1,208",856,64.6,4.9,4.8,5.1,5.3,70.8,4.9,4.8,5.1,5.3,581,43.8,4.9,4.8,5.1,5.3,48.1,4.9,4.8,5.1,5.3
238,2014,MARYLAND,Hispanic,332,189,120,36.1,12.7,16.9,10.0,16.2,63.6,12.7,16.9,10.0,16.2,58,17.5,12.7,16.9,10.0,16.2,30.8,12.7,16.9,10.0,16.2
242,2014,MASSACHUSETTS,Total,"5,279","4,815","3,250",61.6,2.0,2.0,2.0,2.1,67.5,2.0,2.0,2.0,2.1,"2,259",42.8,2.0,2.0,2.0,2.1,46.9,2.0,2.0,2.0,2.1
245,2014,MASSACHUSETTS,White,"4,441","4,205","2,980",67.1,2.1,2.1,2.2,2.3,70.9,2.1,2.1,2.2,2.3,"2,117",47.7,2.1,2.1,2.2,2.3,50.4,2.1,2.1,2.2,2.3
247,2014,MASSACHUSETTS,Black,408,310,141,34.6,8.5,10.2,7.1,9.0,45.4,8.5,10.2,7.1,9.0,80,19.6,8.5,10.2,7.1,9.0,25.7,8.5,10.2,7.1,9.0
249,2014,MASSACHUSETTS,Hispanic,462,312,155,33.6,10.3,13.3,7.0,10.0,49.7,10.3,13.3,7.0,10.0,53,11.5,10.3,13.3,7.0,10.0,17.0,10.3,13.3,7.0,10.0
253,2014,MICHIGAN,Total,"7,576","7,246","5,159",68.1,1.6,1.6,1.7,1.8,71.2,1.6,1.6,1.7,1.8,"3,416",45.1,1.6,1.6,1.7,1.8,47.1,1.6,1.6,1.7,1.8
256,2014,MICHIGAN,White,"6,164","5,965","4,280",69.4,1.8,1.8,1.9,1.9,71.7,1.8,1.8,1.9,1.9,"2,875",46.6,1.8,1.8,1.9,1.9,48.2,1.8,1.8,1.9,1.9
258,2014,MICHIGAN,Black,979,965,685,70.0,5.3,5.3,5.8,5.8,71.0,5.3,5.3,5.8,5.8,438,44.8,5.3,5.3,5.8,5.8,45.4,5.3,5.3,5.8,5.8
260,2014,MICHIGAN,Hispanic,395,295,179,45.3,11.8,13.5,9.7,12.3,60.6,11.8,13.5,9.7,12.3,82,20.8,11.8,13.5,9.7,12.3,27.8,11.8,13.5,9.7,12.3
264,2014,MINNESOTA,Total,"4,104","3,933","2,822",68.8,2.2,2.2,2.4,2.4,71.8,2.2,2.2,2.4,2.4,"2,047",49.9,2.2,2.2,2.4,2.4,52.0,2.2,2.2,2.4,2.4
267,2014,MINNESOTA,White,"3,670","3,579","2,667",72.7,2.2,2.2,2.5,2.5,74.5,2.2,2.2,2.5,2.5,"1,958",53.4,2.2,2.2,2.5,2.5,54.7,2.2,2.2,2.5,2.5
269,2014,MINNESOTA,Black,196,155,83,42.5,12.9,14.7,9.9,12.1,53.6,12.9,14.7,9.9,12.1,34,17.2,12.9,14.7,9.9,12.1,21.7,12.9,14.7,9.9,12.1
271,2014,MINNESOTA,Hispanic,183,100,48,26.2,15.5,23.7,13.6,22.4,47.8,15.5,23.7,13.6,22.4,34,18.4,15.5,23.7,13.6,22.4,33.5,15.5,23.7,13.6,22.4
275,2014,MISSISSIPPI,Total,"2,182","2,142","1,628",74.6,2.2,2.2,2.5,2.5,76.0,2.2,2.2,2.5,2.5,907,41.6,2.2,2.2,2.5,2.5,42.3,2.2,2.2,2.5,2.5
278,2014,MISSISSIPPI,White,"1,352","1,326",964,71.3,2.9,2.9,3.1,3.2,72.6,2.9,2.9,3.1,3.2,536,39.7,2.9,2.9,3.1,3.2,40.4,2.9,2.9,3.1,3.2
280,2014,MISSISSIPPI,Black,769,768,639,83.2,3.9,3.9,5.2,5.2,83.3,3.9,3.9,5.2,5.2,357,46.4,3.9,3.9,5.2,5.2,46.5,3.9,3.9,5.2,5.2
282,2014,MISSISSIPPI,Hispanic,60,32,17,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),13,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
286,2014,MISSOURI,Total,"4,505","4,429","3,194",70.9,2.1,2.1,2.2,2.2,72.1,2.1,2.1,2.2,2.2,"1,713",38.0,2.1,2.1,2.2,2.2,38.7,2.1,2.1,2.2,2.2
289,2014,MISSOURI,White,"3,861","3,814","2,788",72.2,2.2,2.2,2.4,2.4,73.1,2.2,2.2,2.4,2.4,"1,497",38.8,2.2,2.2,2.4,2.4,39.2,2.2,2.2,2.4,2.4
291,2014,MISSOURI,Black,485,479,325,67.1,7.9,7.9,8.1,8.1,67.9,7.9,7.9,8.1,8.1,177,36.5,7.9,7.9,8.1,8.1,37.0,7.9,7.9,8.1,8.1
293,2014,MISSOURI,Hispanic,88,47,28,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),15,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
297,2014,MONTANA,Total,788,782,506,64.3,2.2,2.2,2.3,2.4,64.8,2.2,2.2,2.3,2.4,391,49.7,2.2,2.2,2.3,2.4,50.1,2.2,2.2,2.3,2.4
300,2014,MONTANA,White,728,725,483,66.4,2.3,2.3,2.4,2.4,66.6,2.3,2.3,2.4,2.4,380,52.2,2.3,2.3,2.4,2.4,52.4,2.3,2.3,2.4,2.4
302,2014,MONTANA,Black,3,3,3,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),-,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
