Year,State,Race,Total population,Total voted,Education,Income,Political Power
2014,LOUISIANA,Black,1042,533,0.376004799040192,16200.0,-1.1512684409896539
2014,MAINE,White,1009,616,0.5016369961121342,24000.0,-0.12574444242854832
2014,MAINE,Black,9,3,0.451219512195122,8900.0,-2.083064617629685
2014,MARYLAND,White,2752,1345,0.6114779256932795,39800.0,1.9314215847888179
2014,MARYLAND,Black,1325,581,0.5143833665622329,31000.0,0.7795349070007636
2014,MASSACHUSETTS,White,4441,2117,0.6209180074187015,34000.0,1.1863382086063194
2014,MASSACHUSETTS,Black,408,80,0.5023457235654998,20900.0,-0.5266372527552554
2014,MICHIGAN,White,6164,2875,0.5034515819750719,26000.0,0.13820866837298063
2014,MICHIGAN,Black,979,438,0.4426179604261796,17300.0,-0.9994213555134654
2014,MINNESOTA,White,3670,1958,0.5404962120225977,30000.0,0.6574426503082106
2014,MINNESOTA,Black,196,34,0.4569948186528498,16400.0,-1.1143079956873252
2014,MISSISSIPPI,White,1352,536,0.492646486654735,24800.0,-0.023794071399210092
2014,MISSISSIPPI,Black,769,357,0.3925480416605545,15000.0,-1.3039764652498693
2014,MISSOURI,White,3861,1497,0.4753339538627959,25000.0,0.00195399247630668
2014,MISSOURI,Black,485,177,0.4363290795547109,18200.0,-0.8848363858196727
2014,MONTANA,White,728,380,0.5392993818074772,25500.0,0.07304656594311959
2014,MONTANA,Black,3,0,0.3333333333333333,10000.0,-1.958947722910284
2014,NEBRASKA,White,1295,552,0.5160391566265061,27500.0,0.3281182067073401
2014,NEBRASKA,Black,55,21,0.4461942257217848,18000.0,-0.9095796436826309
2014,NEVADA,White,1571,573,0.5277033388860722,30000.0,0.652636516026029
2014,NEVADA,Black,193,61,0.4664610639938319,24000.0,-0.1321972453995927
2014,NEW HAMPSHIRE,White,996,490,0.5713574345184742,31200.0,0.8136587917121229
2014,NEW HAMPSHIRE,Black,15,4,0.5742574257425742,28000.0,0.4000534169427488
2014,NEW JERSEY,White,5146,1771,0.5691925413073949,36200.0,1.462335212729606
